id,name,composer_id
666,Verdi Karns Sturgis,418
667,Clara Sinde Ramallal,419
668,Tekla Griebel Wandall,420
669,Irina Elcheva,421
670,Yoko Shimomura,422
671,Kathryn Salfelder,423
672,Polly Young,424
673,Maria Barthélemon,424
674,Maria Barthélemon,424
675,Ilza Nogueira,425
676,Eibhlis Farrell,426
677,Beverly Grigsby,427
678,Beverly Pinsky,427
679,Beverly Pinsky,427
680,Elisenda Fábregas,428
681,María Teresa Prieto,429
682,Ella May Walker,430
683,Marisa Rezende,431
684,Georgia Spiropoulos,432
685,Nazife Güran,433
686,Mlle Bocquet,434
687,Ferdousi Rahman,435
688,Edith Swepstone,436
689,Anna S. Þorvaldsdóttir,437
690,Anna Thorvaldsdottir,437
691,Anna Thorvaldsdottir,437
692,Luna Pearl Woolf,438
693,Jane Sloman,439
694,Sloman Torry,439
695,Sloman Torry,439
696,Carola Bauckholt,440
697,Marion Dix Sullivan,441
698,Ethel Smyth,442
699,Dame Ethel Smyth,442
700,Dame Ethel Smyth,442
701,May Brahe,443
702,Mary Hannah Dickson,443
703,Mervyn Banks,443
704,Mary Hannah Brahe,443
705,Donald Crichton,443
706,Stanley Dickson,443
707,Alison Dodd,443
708,Stanton Douglas,443
709,Eric Faulkner,443
710,Wilbur B. Fox,443
711,Henry Lovell,443
712,Mary Hanna Morgan,443
713,George Pointer,443
714,Mary Hannah Dickson,443
715,Mervyn Banks,443
716,Mary Hannah Brahe,443
717,Donald Crichton,443
718,Stanley Dickson,443
719,Alison Dodd,443
720,Stanton Douglas,443
721,Eric Faulkner,443
722,Wilbur B. Fox,443
723,Henry Lovell,443
724,Mary Hanna Morgan,443
725,George Pointer,443
726,Florence Aylward,444
727,Ruth White,445
728,Isidora Zegers,446
729,Isidora Zegers de Huneeus,446
730,Isidora Zegers de Huneeus,446
731,Manuela Cornejo Sanchez,447
732,Manuela Cornejo de Sanchez,447
733,Manuela Cornejo de Sanchez,447
734,Ethel Edith Bilsland,448
735,Louise Filliaux-Tiger,449
736,Louise Sophie Tiger,449
737,Louise Sophie Tiger,449
738,Emily Hall,450
739,Natalie Ann Holt,451
740,Carrie Jacobs-Bond,452
741,Carrie Bond,452
742,Carrie Bond,452
743,Jeanne Ellison Shaffer,453
744,Jeanne Butcher,453
745,Jeanne Butcher,453
746,Irma Ravinale,454
747,Gertrude Ross,455
748,Ida Philippine Eleanor Rosa Schick,456
749,Philippine Schick,456
750,Philippine Schick,456
751,Dame Maroie,457
752,Maroie de Dregnau de Lille,457
753,Maroie de Diergnau de Lille,457
754,Maroie de Dregnau de Lille,457
755,Maroie de Diergnau de Lille,457
756,Margareta Xenopol,458
757,Chiara Margarita Cozzolani,459
758,Margarita Cozzolani,459
759,Margarita Cozzolani,459
760,Dorothy Ashby,460
761,Dorothy Jeanne Thompson,460
762,Dorothy Jeanne Thompson,460
763,Florence Beatrice Price,461
764,Florence B. Price,461
765,Florence B. Price,461
766,Margaret McClure Stitt,462
767,Mary Linwood,463
768,Julie Pinel,464
769,Laurie Anderson,465
770,Laura Phillips Anderson,465
771,Laura Phillips Anderson,465
772,Marcela Rodríguez,466
773,Myra Brooks Turner,467
774,Anna Johanne Schytte,468
775,Anna Jutta Schytte,468
776,Anna Jutta Schytte,468
777,Gertrude Martin Rohrer,469
778,Eleanor Hovda,470
779,Sláva Vorlová,471
780,Miroslava Johnová,471
781,Miroslava Johnová,471
782,Peggy Glanville-Hicks,472
783,Gwyneth Van Anden Walker,473
784,Nadežda Mosusova,474
785,Nadezda,474
786,Nadezda,474
787,Eleanor Rudall,475
788,Georgina Schubert,476
789,Cynthia Cozette Lee,477
790,Julie Rivé-King,478
791,Caroline Samuel,479
792,Ulric Cole,480
793,Adelaide Orsola Appignani,481
794,Orsola Aspri,481
795,Orsola Aspri,481
796,Maria Theresia von Paradis,482
797,Herma Studeny,483
798,Faye-Ellen Silverman,484
799,Constança Capdeville,485
800,Tona Scherchen,486
801,Ursula Mamlok,487
802,Ursula Meyer,487
803,Ursula Meyer,487
804,Amy Upham Thomson McKean,488
805,Dana Suesse,489
806,Ivana Stefanović,490
807,Annie Maria Grimson,491
808,Júlia Hajdú,492
809,Thérèse Brenet,493
810,Martha von Sabinin,494
811,Marfa Stepanovna Sabinina,494
812,Marfa Stepanovna Sabinina,494
813,Abbie Betinis,495
814,Dorothy Hindman,496
815,Doreen Carwithen,497
816,Mary Alwyn,497
817,Mary Alwyn,497
818,Andrea Reinkemeyer,498
819,Terry Winter Owens,499
820,Pamela Motley Verrall,500
821,Benna Moe,501
822,Madeleine Isaksson,502
823,Gillian Bibby,503
824,Caroline Wuiet,504
825,Donna Elidora,504
826,Caroline Aufdiener,504
827,Donna Elidora,504
828,Caroline Aufdiener,504
829,Violet Archer,505
830,Mariana Villanueva,506
831,Gladys Marie Stein,507
832,Frances Turgeon Wiggin,508
833,Wilhelmine Schwertzell,509
834,Wilhelmine von Schwertzell,509
835,Wilhelmine von Schwertzell,509
836,Andree Aeschlimann Rochat,510
837,May Aufderheide,511
838,May Frances Aufderheide Kaufman,511
839,May Frances Aufderheide Kaufman,511
840,Dafina Zeqiri,512
841,Cesarina Ricci de Tingoli,513
842,Nelly Moretto,514
843,Mabel Madison Watson,515
844,Zulema de la Cruz,516
845,Patty Stair,517
846,Frances Ziffer,518
847,Sungji Hong,519
848,Valentina Serova,520
849,Genovieffa Ravissa de Turin,521
850,Madame Ravissa,521
851,Madame Ravissa,521
852,Tania Justina León,522
853,Krystyna Moszumańska-Nazar,523
854,Elinor Meissner Traeger,524
855,Susan Trew,525
856,Joyce Mekeel,526
857,Marianna Bottini,527
858,Julie Waldburg-Wurzach,528
859,Marieta Morosina Priuli,529
860,Isobel Waller-Bridge,530
861,Felicita Casella,531
862,Carlotta Ferrari,532
863,Janet Beat,533
864,Carmen Barradas,534
865,Maria del Carmen Pérez Jiménez,534
866,Maria del Carmen Pérez Jiménez,534
867,Gloria Coates,535
868,Gloria Kannenberg,535
869,Theodora Nicoline Meldal Cormontan,536
870,Soledad Bengoecha de Cármena,537
871,Kay Lande,538
872,Maryanne Amacher,539
873,Sofia Levkovskaya,540
874,Carmelina Delfin,541
875,Janet Dunbar,542
876,Kathleen Lockhart Manning,543
877,Estelle White,544
878,Masguda Shamsutdinova,545
879,Élisabeth de Haulteterre,546
880,Henriette Renié,547
881,Louise Spizizen,548
882,Margaret Vardell Sandresky,549
883,Silvia Sommer,550
884,Ellen Coleman,551
885,Marion Bauer,552
886,Clarice Assad,553
887,Ethel Glenn Hier,554
888,Amy Aldrich Worth,555
889,Jórunn Viðar,556
890,Julia Woolf,557
891,Amice Calverley,558
892,Amice Mary Calverley,558
893,Amice Mary Calverley,558
894,Eva Noer Kondrup,559
895,Valerie Samson,560
896,Jennifer Margaret Barker,561
897,Elizabeth Anspach,562
898,"Elizabeth, Princess Berkeley",562
899,Elizabeth Craven,562
900,Lady Craven,562
901,Margravine of Brandenburg-Ansbach,562
902,"Elizabeth, Princess Berkeley",562
903,Elizabeth Craven,562
904,Lady Craven,562
905,Margravine of Brandenburg-Ansbach,562
906,Joan Szymko,563
907,Susanne Erding-Swiridoff,564
908,Stefania Anatolyevna Zaranek,565
909,Yüksel Koptagel,566
910,Beth Anderson,567
911,Josephine Amann-Weinlich,568
912,Josefine Weinlich,568
913,Josefine Weinlich,568
914,Henriette van den Boorn-Coclet,569
915,Lata Mangeshkar,570
916,Hema,570
917,Latika,570
918,Hema,570
919,Latika,570
920,Claude Porter White,571
921,Ann Valentine,572
922,Betty Olivero,573
923,Alexandra Thomson Studholme,574
924,Alexandra Thompson,574
925,Alexandra Thompson,574
926,Sheila Mary Nelson,575
927,Maria de Alvear,576
928,Gráinne Mulvey,577
929,Lettie Alston,578
930,Jeannie G. Pool,579
931,Janet Graham,580
932,Ilona Breģe,581
